id,name,section_8
c0dfa845-0114-4424-bfe4-2a63f47da9bc,Rivercrest Apartments,
d2d0c966-c3a9-43e6-a38e-073700d5d8db,The Village of St. Martha's,
bbb0869e-1e10-4d71-9cd2-47fd9ad828d3,Sojourner Truth Homes,
753c8e3c-eddb-45d9-bdd1-879c3bc35df2,Heather Hall,yes
0d1ca2a8-f891-427b-b58e-77d4a0148227,New Listing,
af440ad1-bf15-4ad8-994b-b080ef05f833,North End Single Family Infill,
d8715a58-e562-46ae-a4df-dc284fe314ad,River Towers Senior Apartments,
af0a582d-351f-4ced-a263-294018c6e80d,Palmer Park Square,
4e8ab348-5c6b-4278-8f91-3231437cb1c2,Casamira Apartments,
8ec2e459-678b-4817-b69c-0a60c9257527,Genesis Villas Townhomes,
ec18716e-dae6-4a4e-b1e3-915dc6365562,Obama Building,
461e3e71-af6d-408c-b5bd-0719e797d460,Park Square,
e049dab5-55f9-404d-847b-d9d9fdbfd0d5,Penrose Village ll,
af882c3a-7bc0-47d9-819c-ed63161892c0,Across The Park Apartments,
19cd8e54-dade-474b-8320-35a95f6544ff,Bellemere Senior Living,
462bc996-23ef-4a42-81ec-f834fcdb6273,Helen O'Dean Butler,
aa96fb83-2e07-4510-8eed-1d11365708f3,The Villages at Parkside,
a6985399-8c0e-4712-822b-1af5fee1d6ad,The Murray,
2eff48d9-a9a1-430b-a474-0a1e3f36afc4,Tiny Homes Phase Ib,
5706f837-47e6-4bf7-8a1e-95c52d87dd37,Marwood Apts,
ae9dbffc-28be-44c4-bfa7-560687c1c727,Hope Park Homes,yes
545d4538-02ce-4da7-ad12-9096c7c02553,Springwells Village Townhomes,
71d5fedd-34fe-441c-adaa-203f6cf5bdfb,Melie Apartments,
5c321a04-78bb-426d-aba1-55619fb1340e,Prak 202,
9d584ffa-b5d5-494b-b1f6-4efcde04d681,Village of Bethany Manor,
f9a3cc8d-3053-47ab-b5b4-145bb1e3e847,Central Park Apartments,
5559ed4f-1320-4e05-9cbf-cd4d862bf1c0,Orleans Landing,
471c3b4b-23dd-4fa6-a075-ae8aa03285c6,Harrington Apartments,
13f18705-ad5a-46ae-9ef3-ecb1f786ad8d,Grand Apartments,
5e1f2114-3576-4060-82cd-17f632000efb,Piquette Square Apartments,
7578c958-0c30-4cb1-ab2b-93047c363e3b,Mack Ashland Apartment,
3dbc1225-34b9-4225-80ba-c20d51821c0d,Alberta W. King Village,
08bca28e-b1fb-4c9e-8f7e-324d4b76da46,Buersmeyer Manor,
46bb2f4d-ba80-42ee-84c8-fe8512ca00f9,Charlotte Apartments,
7f653106-fce2-493a-8336-a1a855c71673,Hamtramck Square,
7182829e-6ede-41f1-801e-252c9da2e31c,Milwaukee Junction,
6db12d27-9002-4ef7-ae20-d0a1804eeed3,Lexington Village,
9998bf90-5f71-446e-ad4e-7e680d660837,The Peterboro Arms,
b5b1784a-4fb9-4857-8fc4-d6a66809974d,Mohican Regent/ Lifebuilders I,
d24503a1-7005-41af-bb18-c99386bdf379,Day Star Estates,
5056688f-867d-4926-b1ed-50d82acea107,Treymore Apartments,
4f0aa11c-c4a0-49c8-9b17-b99909078503,Trumbull Crossing,
8835867f-da35-48aa-88fa-dd8719a26d6a,Young Manor,
eb9bad73-46bf-4f82-979e-5187dc235f4f,Rio Vista Detroit Co-op,
214ccb4c-0d0b-4ff6-b420-ed05bae0e22e,Gratiot Woods Co-op Senior Apartments,
de0a0605-a235-4a18-9b6b-cc4752d135ed,Vernor Building,
19df7f2b-e021-41dc-8bac-64b281ee71a0,Central Towers,
5dfa63f0-587e-4995-9988-1ac62c7a912a,Eugene-Hogan Estates,
fbeaa83f-1069-46c1-b7f5-1eda557aedfe,Medical Center Village - Senior,
a7ad6cbf-9057-4910-b9a2-4571feda8231,Brightmoor Homes I,
aa7bf663-4f3b-4c96-adc2-ba2428d118c9,Gratiot Central Commons,
c103cbb8-70ce-4dd7-b49b-c440a44f7420,Melrose Square Homes,
dbf40f50-e978-4851-982d-668b88bb7e9c,Roberts III Apartments,yes
be45843e-f5cd-49c9-8d83-7ce12fa71ae7,Brightmoor Homes II,yes
9a886f7a-7ab2-4b6a-9401-284ae9d1f36c,Mt. Vernon Apartments II,
174ce426-eb69-4173-9895-234809584b0b,Chalmers Square Apartments,
19d40c0b-b3e3-48e3-a350-285577e6e14e,Gray Street,
19d6dbed-ae3f-48e8-a2f9-8aad2d22c33b,St. Paul / Kingston Arms Apartments,
7afa96ae-9ac9-4ec6-a98a-8597929ec192,Jefferson Square Apartments,
edb8eb68-cf8c-4cd9-bd27-635efdb35ec6,Hidden Pines Apartments,
321ce6ca-22c0-48ac-8149-028a1b9dcfa4,Village Park,
2d1ab153-a3c1-451b-8831-46cff1b24436,Evangelical Manor,
59c1e16a-13b8-4c7b-af8d-14e1b45093a8,Springwells Partner,
3477f59d-9bd8-436d-a337-7d6dd0a6af4a,Wilshire Apartments,
8ac7bbea-43c2-4c82-b751-89e1f2fd7794,Van Dyke Center,
bb6a7338-1b1e-48e3-a65d-9bb8e07d124e,Saint Rita Owen Apartments,
c5f3b7b3-0d96-4c81-9a33-54f6668cd8ae,Morningside Commons,
1c0ebd17-ad69-4615-8735-93f09606ae91,Agnes Street Apartments,
41360d0e-3019-4920-a75a-3990577a2359,Positive Images,
b6c7c809-7887-4fe7-9209-b1f2a232e132,The Peterboro Arms,
7e31951e-33dc-494d-902c-7b3083b64ada,The Boulevard,
a75df1cd-5cf1-427d-af85-3ec2a4837af1,Wellington Square,
da0f9745-980f-4bc8-8cce-b5a85e93794a,Selden Manor,yes
6819289c-f066-46c2-8381-2638e6e727da,Coronado Apartment II,
01692de1-4f2d-454d-bc28-06cd9e9a3d3e,Pilgrim Meadows,
c57137f4-5e5e-4643-8ebb-f001a57ca905,Harwill Manor Apartments,
9228c8b2-d70e-47f5-8fc9-48f46f955b25,Elton Park Checker Cab,
636ed2ec-1197-4448-b45f-c0f232564cb4,Clark Apartments,
e54790fd-ebb7-477a-ba62-f5b3e336a8fe,Martin Garden Apartments,
564020ff-f3b4-4fc8-a45e-3ad474888136,Whitdell Apartments,
926d8d7c-9eed-45b7-a970-19476b820f80,Parkview Tower and Square,
576d5544-6c2a-4891-9f79-6e24ed2800df,Bowin Place,
13797b46-7adc-4f76-9cda-d96b6536edcf,University Club Apartments,
fd0a990f-2760-4d74-96a1-fa5ee8016c83,Peterboro Place Apartments,
29ab3785-39ab-4925-ae83-5424d90718d2,"B. Siegel Building, 7 .Liv",
522e78f2-2d45-495a-9816-7656cd81f0af,St. Paul Manor,
3756a218-3ea0-401c-b34d-f4dd045c7e3b,Architects Building Apartments II,
223d6bc9-fa11-4c5b-b46e-77900782f980,Newberry Lofts,
20e6556c-e924-428b-94af-5c9f2ee9fbd7,Rouge Woods,
107e4629-9af8-47f9-a052-101c6dcf6c0d,KMG Prestige,
7df9780c-8480-4c09-912e-9d9b9779e092,KMG Prestige Test 2,
60148dd6-0a93-446d-9fd1-5d1240587da5,Woodward-Gladstone,
551806ad-15bf-4c05-8fc7-571af7677b4b,Wellington I & II,
99d54ba3-e542-43cf-89f2-12c611f3f1fc,Medical Center Village - Family,
020be6c8-79bf-4043-848a-995448bc1c70,Midtown Place,yes
9c123f30-7bbd-417a-88a5-a86214a649e7,Brightmoor Homes III,yes
a6975388-ee6d-4481-bf36-ecc97c205201,Brightmoor Homes IV,yes
1713b83f-908d-4073-a934-bdfb07dc265a,Coronado Square,
f8612d37-b94d-4295-a25c-58221bacdf32,McKinley Manor,
72457e4e-cca1-4f0f-9553-d6c4e50bb792,Parkview Place Apartments,yes
9cb3d63a-2b89-4b51-9c19-8f714fba05b5,West Boston Apartments,
